PropertyAddress,MoveOut,MoveIn
1011-17 Morreene,3/31/2016,4/25/2016
706 E Ellerbee,3/31/2016,
1011-5 Morreene,4/12/2016,4/20/2016
4214-C Oran,4/13/2016,6/15/2016
1326-C Marne,4/30/2016,9/1/2016
846 Estes,4/30/2016,7/3/2016
1603-B W. Club Blvd,4/30/2016,6/1/2016
108-B W Club,4/30/2016,5/29/2016
312-302 N Buchanan,4/30/2016,5/20/2016
1011-18 Morreene,4/30/2016,5/6/2016
117B Maynard,4/30/2016,5/6/2016
1603-A W. Club,4/30/2016,5/1/2016
911-A Rome,4/30/2016,5/1/2016
1109A Georgia,4/30/2016,5/1/2016
2815 Enfield,4/30/2016,
3618 Crystal Court,4/30/2016,
1406-D Markham,5/1/2016,5/6/2016
1919 Ruffin,5/6/2016,5/14/2016
914 Ninth St,5/8/2016,8/15/2016
835A Wilkerson,5/9/2016,6/12/2016
907-A Rome,5/16/2016,5/17/2016
922-A Hale,5/17/2016,5/20/2016
1019 Green St,5/20/2016,6/23/2016
312-103 N Buchanan,5/20/2016,6/10/2016
70 Candytuff,5/27/2016,5/28/2016
1013-3 Ninth,5/29/2016,6/3/2016
913 Edith B,5/29/2016,6/3/2016
2501-A Chapel Hill,5/31/2016,9/30/2016
913-B Rosehill,5/31/2016,8/20/2016
1013-2 Ninth St,5/31/2016,8/15/2016
1013-1 Ninth,5/31/2016,8/1/2016
910-B Ninth,5/31/2016,7/29/2016
1021 Carolina,5/31/2016,7/23/2016
1310-A Marne,5/31/2016,7/20/2016
4209 Sweet Gum,5/31/2016,7/15/2016
913-A Rosehill,5/31/2016,7/15/2016
1010 Clarendon B,5/31/2016,7/1/2016
1010-A Ninth,5/31/2016,7/1/2016
1019A Ninth St,5/31/2016,7/1/2016
1725-205 TW Alexander,5/31/2016,6/29/2016
4431-B American Dr,5/31/2016,6/26/2016
1010 Virgie,5/31/2016,6/24/2016
1326-B Marne,5/31/2016,6/24/2016
908B Rosehill,5/31/2016,6/20/2016
2211-B W Knox,5/31/2016,6/18/2016
1015-2 Ninth ,5/31/2016,6/17/2016
1710 James,5/31/2016,6/17/2016
1020 Ninth,5/31/2016,6/15/2016
1705 James St,5/31/2016,6/15/2016
1011-24 Morreene ,5/31/2016,6/10/2016
1201-3 N Elizabeth ,5/31/2016,6/10/2016
1009 Edith,5/31/2016,6/10/2016
1013-B Rosehill,5/31/2016,6/10/2016
2629 Hitchcock,5/31/2016,6/10/2016
1600-A W Club,5/31/2016,6/8/2016
917 Hale St,5/31/2016,6/8/2016
909-A Rome,5/31/2016,6/1/2016
3727 Randolph,5/31/2016,
135 East End Ave,5/31/2016,
522 Andover,5/31/2016,
736 Rutherford,5/31/2016,
911-B Clarendon St,6/1/2016,6/2/2016
2200-B Caroline,6/2/2016,6/20/2016
1216 Broad Down,6/3/2016,7/1/2016
810-B Gerard,6/5/2016,7/1/2016
1011-7 Morreene Rd,6/8/2016,10/7/2016
909B Clarendon,6/10/2016,7/22/2016
312-106 Buchanan,6/13/2016,7/26/2016
1704 W Markham,6/14/2016,6/15/2016
1605-A W Club,6/18/2016,6/23/2016
4214-D Oran Ave,6/22/2016,7/23/2016
1007 Edith,6/24/2016,7/1/2016
1011-22 Morreene,6/27/2016,8/11/2016
1013 Edith,6/28/2016,7/8/2016
2501 Farthing,6/30/2016,11/9/2016
5806 Tomahawk,6/30/2016,10/27/2016
1011-23 Morreene Rd,6/30/2016,8/19/2016
1011-3 Ninth ,6/30/2016,8/15/2016
8 Lure Court,6/30/2016,8/15/2016
2700 Lawndale,6/30/2016,8/5/2016
1011-20 Morreene,6/30/2016,8/1/2016
1017 Clarendon,6/30/2016,8/1/2016
3311 Spector ,6/30/2016,8/1/2016
511 E Trinity,6/30/2016,8/1/2016
6480 Guess Rd,6/30/2016,8/1/2016
921 Alabama,6/30/2016,8/1/2016
909-A Rosehill,6/30/2016,7/26/2016
1003-A Broad,6/30/2016,7/22/2016
2507 W Carver ST,6/30/2016,7/22/2016
713 W Knox,6/30/2016,7/22/2016
3503 Cole Mill,6/30/2016,7/16/2016
1010-B Ninth St,6/30/2016,7/15/2016
1113 Ninth St,6/30/2016,7/15/2016
1309 Norton,6/30/2016,7/15/2016
8132 Oxford,6/30/2016,7/15/2016
904-A Virgie,6/30/2016,7/15/2016
903 Iredell Front,6/30/2016,7/11/2016
910-A Ninth St,6/30/2016,7/10/2016
1011-1 Ninth St,6/30/2016,7/8/2016
2700 Omah St,6/30/2016,
2822 Picket ,6/30/2016,
611 South Shore,6/30/2016,
517 Eastway,6/30/2016,
5812 Forest Ridge,6/30/2016,
312-401 N Buchanan,6/30/2016,
1002-B Clarendon,7/1/2016,7/10/2016
909A Clarendon,7/2/2016,8/1/2016
2210 W Knox,7/2/2016,7/15/2016
2113-UP Englewood,7/6/2016,7/9/2016
506 E Trinity,7/10/2016,8/1/2016
915-B Buchanan,7/10/2016,8/1/2016
2208 W Knox,7/10/2016,7/15/2016
1011-31 Morreene,7/11/2016,7/28/2016
2402-A Stadium,7/15/2016,7/22/2016
4601 Jimmy Rogers,7/15/2016,
1011-1 Morreene,7/18/2016,8/8/2016
1015 Oakland,7/21/2016,7/27/2016
2635 Chapel Hill,7/22/2016,8/15/2016
312-301 N Buchanan,7/28/2016,7/29/2016
2819 Independence,7/31/2016,12/9/2016
2105-4 LaFayette,7/31/2016,10/24/2016
1809 James,7/31/2016,9/30/2016
1318-B Marne,7/31/2016,9/15/2016
416-A Edward,7/31/2016,9/1/2016
3012 Alabama,7/31/2016,8/18/2016
1011-14 Morreene,7/31/2016,8/15/2016
1603-A W. Club,7/31/2016,8/15/2016
208-6 N Buchanan,7/31/2016,8/15/2016
526 Darby Glen,7/31/2016,8/15/2016
1011-28 Morreene,7/31/2016,8/14/2016
1216-B Broad,7/31/2016,8/12/2016
835-B Wilkerson,7/31/2016,8/12/2016
848 Estes,7/31/2016,8/12/2016
906 W Murray,7/31/2016,8/12/2016
1011-30 Morreene,7/31/2016,8/11/2016
312-304 N Buchanan,7/31/2016,8/11/2016
105-B Delafield,7/31/2016,8/10/2016
1018 Ninth,7/31/2016,8/8/2016
2034 englewood ,7/31/2016,8/8/2016
23 Kingsmount,7/31/2016,8/8/2016
2200-A Carolina,7/31/2016,8/6/2016
1017 Oakland,7/31/2016,8/5/2016
2420 Perkins,7/31/2016,8/5/2016
1019 Clarendon,7/31/2016,8/1/2016
2703 Lawndale,7/31/2016,8/1/2016
312-205 N Buchanan,7/31/2016,8/1/2016
33 Signet,7/31/2016,
500 N duke,7/31/2016,
601 E. Lavender,7/31/2016,
909-B Rome,8/1/2016,9/1/2016
805 Clarendon,8/1/2016,8/3/2016
915-A Buchanan,8/1/2016,8/3/2016
312-308 N Buchanan,8/2/2016,
117-A Maynard,8/3/2016,8/9/2016
1011 Edith,8/3/2016,8/8/2016
3920 Cole Mill,8/5/2016,9/2/2016
1009 Edith,8/9/2016,8/10/2016
312-105 N Buchanan,8/10/2016,9/13/2016
1014 Edith,8/14/2016,10/1/2016
312-306 N Buchanan,8/15/2016,9/16/2016
2008 Englewood,8/15/2016,8/31/2016
1802 -A N Alston,8/23/2016,10/17/2016
908-A Rosehill,8/25/2016,9/1/2016
1004-A Clarendon St,8/27/2016,8/29/2016
1602 Albany,8/31/2016,11/26/2016
232 Sandlewood,8/31/2016,10/28/2016
2210 W Knox,8/31/2016,9/27/2016
107 E Club Blvd,8/31/2016,9/24/2016
1306 Stadium,8/31/2016,9/20/2016
2113-A Peppertree,8/31/2016,9/15/2016
1011-27 Morreene,8/31/2016,9/6/2016
500 E club,8/31/2016,
312-305 N Buchanan,8/31/2016,
312-402 N Buchanan,8/31/2016,
312-406 N Buchanan,8/31/2016,
312-408 N Buchanan,8/31/2016,
312-204 N Buchanan,9/1/2016,
